Hostnames,FQDN,IP
AIRSBEAP4079,AIRSBEAP4079.emea.group.atlascopco.com,"[['10.26.14.81'], ['10.26.14.81'], ['10.26.14.81']]"
AIRSBEAP4090,AIRSBEAP4090.emea.group.atlascopco.com,"[['10.26.14.155'], ['10.26.14.155'], ['10.26.14.155']]"
AIRSBEAP4091,AIRSBEAP4091.emea.group.atlascopco.com,"[['10.26.14.153'], ['10.26.14.153'], ['10.26.14.153']]"
AIRSBEAP4092,AIRSBEAP4092.emea.group.atlascopco.com,"[['10.199.18.46'], ['192.168.146.46'], ['10.26.20.132'], ['fe80::cd10:1d01:7495:8ab6', '10.199.18.46'], ['fe80::41ed:390d:c86c:a192', '192.168.146.46'], ['fe80::28e7:1c6:b761:452b', '10.26.20.132'], ['10.26.20.132'], ['fe80::28e7:1c6:b761:452b'], ['10.199.18.46'], ['fe80::cd10:1d01:7495:8ab6'], ['192.168.146.46'], ['fe80::41ed:390d:c86c:a192']]"
AIRSBEAP4093,AIRSBEAP4093.emea.group.atlascopco.com,"[['10.26.20.133'], ['fe80::20f3:bb74:35d:a6bc', '10.26.20.133'], ['10.26.20.133'], ['fe80::20f3:bb74:35d:a6bc']]"
AIRSBEAP4097,AIRSBEAP4097.emea.group.atlascopco.com,"[['10.199.18.74'], ['192.168.146.74'], ['10.26.14.162'], ['fe80::7146:8cd7:fb41:447a', '10.199.18.74'], ['fe80::a484:5bd3:19fa:9dc', '192.168.146.74'], ['fe80::3897:ae3b:d390:71d3', '10.26.14.162'], ['10.199.18.74'], ['fe80::7146:8cd7:fb41:447a'], ['10.26.14.162'], ['fe80::3897:ae3b:d390:71d3'], ['192.168.146.74'], ['fe80::a484:5bd3:19fa:9dc']]"
AIRSBEAP4098,AIRSBEAP4098.emea.group.atlascopco.com,"[['10.199.18.64'], ['10.26.14.163'], ['192.168.146.64'], ['10.199.18.64'], ['fe80::8528:317b:7df2:c9e0', '10.26.14.163'], ['192.168.146.64'], ['10.199.18.64'], ['10.26.14.163'], ['fe80::8528:317b:7df2:c9e0'], ['192.168.146.64']]"
AIRSBEAP4100,AIRSBEAP4100.emea.group.atlascopco.com,"[['10.199.18.84'], ['10.26.17.79'], ['192.168.146.84'], ['10.199.18.84'], ['10.26.17.79'], ['192.168.146.84'], ['192.168.146.84'], ['10.26.17.79'], ['10.199.18.84']]"
AIRSBEAP4101,AIRSBEAP4101.emea.group.atlascopco.com,"[['10.26.17.15'], ['10.199.18.85'], ['192.168.18.85'], ['10.26.17.15'], ['10.26.17.15']]"
AIRSBEAP4103,AIRSBEAP4103.emea.group.atlascopco.com,"[['192.168.146.66'], ['10.199.18.66'], ['10.26.8.184'], ['10.26.14.179', '(PROD', '556)'], ['10.199.18.66', '(admin)'], ['192.168.146.66', '(backup)'], [], [], ['192.168.146.66'], ['fe80::3d77:b648:4d7b:d789'], ['10.199.18.66'], ['10.26.8.184'], ['fe80::59e3:7314:9cd4:3b34']]"
AIRSBEAP4104,AIRSBEAP4104.emea.group.atlascopco.com,"[['10.132.20.32'], ['10.132.16.101'], ['10.253.0.180'], [], ['10.253.0.180'], ['10.132.20.32'], ['fe80::e98f:ad39:afdf:1fc8'], [], []]"
AIRSBEAP4105,AIRSBEAP4105.emea.group.atlascopco.com,"[['10.199.18.68'], ['192.168.18.68'], ['10.26.8.186'], ['10.26.14.181', '(PROD', '556)'], ['10.199.18.68', '(Admin)'], ['192.168.18.68', '(BCKP)'], [], ['10.199.18.68'], ['192.168.18.68'], ['fe80::b3:9ddb:9840:76e8'], [], ['10.26.8.186'], ['fe80::286f:5754:9741:3fcd']]"
AIRSBEAP4106,AIRSBEAP4106.emea.group.atlascopco.com,"[['10.26.20.170'], ['192.168.146.92'], ['10.25.54.132'], ['10.253.0.150'], ['10.26.20.170'], ['192.168.146.92'], ['10.25.54.132'], ['fe80::e94f:d2aa:fc60:7d3%3'], ['10.253.0.150']]"
AIRSBEAP4125,AIRSBEAP4125.emea.group.atlascopco.com,"[['10.199.18.121'], ['10.26.14.184'], ['192.168.146.121'], ['10.199.18.121'], ['10.26.14.184'], ['192.168.146.121'], ['10.199.18.121'], ['10.26.14.184'], ['192.168.146.121']]"
AIRSBEAP4126,AIRSBEAP4126.emea.group.atlascopco.com,"[['192.168.144.72'], ['10.26.14.188'], ['10.199.16.181'], ['192.168.144.72'], ['10.26.14.188'], ['10.199.16.181'], ['10.26.14.188'], ['10.199.16.181'], ['192.168.144.72']]"
AIRSBEAP4128,AIRSBEAP4128.emea.group.atlascopco.com,"[['10.26.8.162'], ['10.26.8.162'], ['10.26.8.162']]"
AIRSBEAP4129,AIRSBEAP4129.emea.group.atlascopco.com,"[['10.26.8.163'], ['fe80::9032:7da7:f175:448c', '10.26.8.163'], ['10.26.8.163'], ['fe80::9032:7da7:f175:448c']]"
AIRSBEAP4130,AIRSBEAP4130.emea.group.atlascopco.com,"[['10.26.8.164'], ['10.26.8.164'], ['10.26.8.164']]"
AIRSBEAP4131,AIRSBEAP4131.emea.group.atlascopco.com,"[['10.26.8.165'], ['10.26.8.165'], ['10.26.8.165']]"
AIRSBEAP4132,AIRSBEAP4132.emea.group.atlascopco.com,"[['10.26.8.166'], ['10.26.8.166'], ['10.26.8.166']]"
AIRSBEAP4133,AIRSBEAP4133.emea.group.atlascopco.com,"[['10.26.8.167'], ['10.26.8.167'], ['10.26.8.167']]"
AIRSBEAP4134,AIRSBEAP4134.emea.group.atlascopco.com,"[['10.26.8.168'], ['10.26.8.168'], ['10.26.8.168']]"
AIRSBEAP4135,AIRSBEAP4135.emea.group.atlascopco.com,"[['169.254.32.133'], ['10.26.8.169'], ['10.199.18.153'], ['192.168.146.153'], ['10.26.8.169'], ['10.199.18.153'], ['192.168.146.153'], ['10.26.8.169'], ['10.199.18.153'], ['192.168.146.153']]"
AIRSBEAP4136,AIRSBEAP4136.emea.group.atlascopco.com,"[['10.26.8.170'], ['10.26.8.170'], ['10.26.8.170']]"
AIRSBEAP4137,AIRSBEAP4137.emea.group.atlascopco.com,"[['10.199.18.135'], ['10.26.8.171'], ['192.168.146.135'], ['10.199.18.135'], ['10.26.8.171'], ['192.168.146.135'], ['10.199.18.135'], ['192.168.146.135'], ['10.26.8.171']]"
AIRSBEAP4138,AIRSBEAP4138.emea.group.atlascopco.com,"[['10.26.17.110'], ['10.26.17.110'], ['10.26.17.110']]"
AIRSBEAP4139,AIRSBEAP4139.emea.group.atlascopco.com,"[['10.26.17.111'], ['10.26.17.111'], ['10.26.17.111']]"
AIRSBEAP4140,AIRSBEAP4140.emea.group.atlascopco.com,"[['10.26.17.141'], ['10.26.17.141'], ['10.26.17.141']]"
AIRSBEAP4144,AIRSBEAP4144.emea.group.atlascopco.com,"[['10.26.20.165'], ['10.26.20.165'], ['10.26.20.165']]"
AIRSBEAP4153,AIRSBEAP4153.emea.group.atlascopco.com,"[['10.126.145.73'], ['fe80::9c1d:4e4e:e7d9:7f0a', '10.126.145.73'], ['10.126.145.73'], ['fe80::9c1d:4e4e:e7d9:7f0a%2']]"
AIRSBEAP4155,AIRSBEAP4155.emea.group.atlascopco.com,"[['10.126.147.13'], ['10.126.147.13'], ['10.126.147.13']]"
AIRSBEAP4156,AIRSBEAP4156.emea.group.atlascopco.com,"[['10.126.145.45'], ['fe80::782a:7e00:4323:c40c', '10.126.145.45'], ['10.126.145.45'], ['fe80::782a:7e00:4323:c40c%5']]"
AIRSBEAP4201,AIRSBEAP4201.emea.group.atlascopco.com,"[['10.126.144.234'], ['10.126.144.234'], ['10.126.144.234']]"
AIRSBEAP4203,AIRSBEAP4203.emea.group.atlascopco.com,"[['10.126.147.17'], ['10.126.147.17'], ['10.126.147.17']]"
AIRSBEAP4237,AIRSBEAP4237.atlascopco.group,"[['10.126.145.185'], ['fe80::1aa:d52:d29:1300', '172.21.227.72'], ['10.126.145.185'], ['172.21.227.72'], ['fe80::1aa:d52:d29:1300%4'], ['10.126.145.185']]"
AIRSBEAP4328,AIRSBEAP4328.atlascopco.group,"[['10.126.146.100'], ['fe80::41a0:ea5:df30:3e4', '10.126.146.100'], ['10.126.146.100'], ['fe80::41a0:ea5:df30:3e4%4']]"
AIRSBEAPKMS1,AIRSBEAPKMS1.emea.group.atlascopco.com,"[['10.126.145.57'], ['10.126.145.57'], ['10.126.145.57']]"
AIRSBEAPKMS2,AIRSBEAPKMS2.emea.group.atlascopco.com,"[['10.126.145.58'], ['10.126.145.58'], ['10.126.145.58']]"
AIRSBEAPMCF0001,AIRSBEAPMCF0001.emea.group.atlascopco.com,"[['192.168.147.20'], ['10.199.16.145'], ['10.126.170.31'], ['10.199.16.145'], ['fe80::2810:1596:6707:59a5', '10.126.170.31'], ['192.168.147.20'], ['192.168.147.20'], ['10.126.170.31'], ['fe80::2810:1596:6707:59a5%5'], ['10.199.16.145']]"
AIRSBEAPMCF0002,AIRSBEAPMCF0002.emea.group.atlascopco.com,"[['10.199.16.146'], ['192.168.147.21'], ['10.126.170.32'], ['10.199.16.146'], ['fe80::fda3:8a37:f529:57f', '10.126.170.32'], ['192.168.147.21'], ['10.199.16.146'], ['10.126.170.32'], ['fe80::fda3:8a37:f529:57f%2'], ['192.168.147.21']]"
AIRSBEAPMCF0003,AIRSBEAPMCF0003.emea.group.atlascopco.com,"[['10.199.16.147'], ['192.168.147.22'], ['10.126.170.33'], ['10.199.16.147'], ['fe80::1d0a:bca5:5787:5e7', '10.126.170.33'], ['192.168.147.22'], ['10.126.170.33'], ['fe80::1d0a:bca5:5787:5e7%3'], ['10.199.16.147'], ['192.168.147.22']]"
AIRSBEAPMCF0004,AIRSBEAPMCF0004.emea.group.atlascopco.com,"[['10.199.16.148'], ['192.168.147.23'], ['10.126.170.34'], ['10.199.16.148'], ['fe80::2d13:361f:8bcc:5b22', '10.126.170.34'], ['192.168.147.23'], ['10.126.170.34'], ['fe80::2d13:361f:8bcc:5b22%3'], ['10.199.16.148'], ['192.168.147.23']]"
AIRSBEAPMCF0005,AIRSBEAPMCF0005.emea.group.atlascopco.com,"[['192.168.147.24'], ['10.199.16.149'], ['10.126.170.35'], ['10.199.16.149'], ['fe80::e01b:ed03:457d:f02a', '10.126.170.35'], ['192.168.147.24'], ['10.126.170.35'], ['fe80::e01b:ed03:457d:f02a%9'], ['192.168.147.24'], ['10.199.16.149']]"
AIRSBEAPMCF0006,AIRSBEAPMCF0006.emea.group.atlascopco.com,"[['10.199.16.150'], ['192.168.19.21'], ['10.126.170.36'], ['10.199.16.150'], ['fe80::4c46:e792:d5b5:281f', '10.126.170.36'], ['192.168.19.21'], ['10.126.170.36'], ['fe80::4c46:e792:d5b5:281f%5'], ['192.168.19.21'], ['10.199.16.150']]"
AIRSBEAPMCF0007,AIRSBEAPMCF0007.emea.group.atlascopco.com,"[['192.168.19.22'], ['10.199.16.151'], ['10.126.250.8'], ['10.126.170.37'], ['10.199.16.151'], ['fe80::b401:841a:754:5b4c', '10.126.170.37'], ['192.168.144.27'], ['fe80::582d:931a:a4e1:169c', '10.126.250.8', '169.254.22.156'], ['192.168.144.27'], ['10.199.16.151'], ['10.126.170.37'], ['fe80::b401:841a:754:5b4c%11'], ['10.126.250.8'], ['fe80::582d:931a:a4e1:169c%5']]"
AIRSBEAPMCF0008,AIRSBEAPMCF0008.emea.group.atlascopco.com,"[['192.168.19.23'], ['10.126.250.9'], ['10.199.16.152'], ['10.126.170.38'], ['10.199.16.152'], ['fe80::5801:4cf6:e41a:5621', '10.126.170.38'], ['192.168.19.23'], ['fe80::f417:a8da:c756:7501', '10.126.250.9'], ['10.126.170.38'], ['fe80::5801:4cf6:e41a:5621%9'], ['192.168.19.23'], ['10.126.250.9'], ['fe80::f417:a8da:c756:7501%3'], ['10.199.16.152']]"
AIRSBEAPMCF0009,AIRSBEAPMCF0009.emea.group.atlascopco.com,"[['10.126.250.10'], ['192.168.19.24'], ['10.199.16.153'], ['10.126.170.39'], ['10.199.16.153'], ['fe80::ce4:3f32:674c:6d84', '10.126.170.39'], ['192.168.19.24'], ['fe80::8144:936c:15d8:a55', '10.126.250.10'], ['10.126.250.10'], ['fe80::8144:936c:15d8:a55%5'], ['10.126.170.39'], ['fe80::ce4:3f32:674c:6d84%6'], ['192.168.19.24'], ['10.199.16.153']]"
AIRSBEASCH0044,AIRSBEASCH0044.emea.group.atlascopco.com,"[['10.253.0.200'], ['10.126.144.106'], ['fe80::119b:fb74:d5f2:1ff7', '10.253.0.200'], ['fe80::d01d:a678:d1ee:81c9', '10.126.144.106'], ['10.126.144.106'], ['fe80::d01d:a678:d1ee:81c9'], ['10.253.0.200'], ['fe80::119b:fb74:d5f2:1ff7']]"
AIRSBEASCH0045,AIRSBEASCH0045.emea.group.atlascopco.com,"[['10.253.0.169'], ['10.126.144.141'], ['fe80::d0de:9d59:d8ad:f6b', '10.253.0.169'], ['fe80::a40b:ee2d:dd76:c2c1', '10.126.144.141'], ['10.126.144.141'], ['fe80::a40b:ee2d:dd76:c2c1'], ['10.253.0.169'], ['fe80::d0de:9d59:d8ad:f6b']]"
AIRSBEASP10001,AIRSBEASP10001.AIRDMZ.atlas-copco.com,"[['10.26.19.22'], ['193.109.72.183'], ['10.26.19.22'], ['172.26.17.108'], ['10.26.19.22'], ['172.26.17.108']]"
AIRSBEDB4007,AIRSBEDB4007.emea.group.atlascopco.com,"[['10.199.18.86'], ['10.26.17.80'], ['192.168.146.86'], ['10.199.18.86'], ['fe80::e505:c343:67b4:209d', '10.26.17.80'], ['192.168.146.86'], ['192.168.146.86'], ['10.199.18.86'], ['10.26.17.80'], ['fe80::e505:c343:67b4:209d']]"
AIRSBEDB4008,AIRSBEDB4008.emea.group.atlascopco.com,"[['10.199.18.87'], ['10.26.17.126'], ['192.168.18.87'], ['10.199.18.87'], ['fe80::7c60:ce60:8789:fcf3', '10.26.17.126'], ['192.168.18.87'], ['192.168.18.87'], ['10.199.18.87'], ['10.26.17.126'], ['fe80::7c60:ce60:8789:fcf3']]"
AIRSBEIS0070,AIRSBEIS0070.emea.group.atlascopco.com,"[['10.126.145.20'], ['10.253.0.202'], ['10.126.145.20'], ['fe80::4080:2d05:234b:50c6', '10.253.0.202'], ['10.253.0.202'], ['fe80::4080:2d05:234b:50c6'], ['10.126.145.20']]"
AIRSBEIS0073,AIRSBEIS0073.emea.group.atlascopco.com,"[['10.126.145.200'], ['10.253.0.199'], ['10.126.145.200'], ['10.253.0.199'], ['10.126.145.200'], ['10.253.0.199']]"
AIRSBEIS4003,AIRSBEIS4003.emea.group.atlascopco.com,"[['193.109.73.120'], ['10.26.14.67'], ['10.26.14.67'], ['10.26.14.67']]"
AIRSBEIS4004,AIRSBEIS4004.emea.group.atlascopco.com,"[['10.26.14.66'], ['10.26.14.66'], ['10.26.14.66']]"
AIRSBEISCH0001,AIRSBEISCH0001.emea.group.atlascopco.com,"[['10.25.58.150'], ['10.253.0.137'], ['10.25.58.150'], ['fe80::496c:67a9:df31:d0a2', '10.253.0.137'], ['10.253.0.137'], ['fe80::496c:67a9:df31:d0a2%4'], ['10.25.58.150']]"
AIRSBEWU0001,AIRSBEWU0001.group.atlascopco.com,"[['10.25.52.16'], ['10.25.53.203'], ['10.253.0.139'], ['10.25.52.16', '10.25.53.203'], ['fe80::d94d:1fea:af3a:4ecf', '10.253.0.139'], ['10.25.53.203'], ['10.25.52.16'], ['10.253.0.139'], ['fe80::d94d:1fea:af3a:4ecf%3']]"
AIRSBEWWP10008,AIRSBEWWP10008.ACDMZPRD.local,"[['10.26.19.48'], ['172.26.17.32'], ['193.109.72.30'], ['10.26.19.48'], ['172.26.17.32'], ['10.26.19.48'], ['172.26.17.32']]"
AIRSBEWWP10009,AIRSBEWWP10009.ACDMZPRD.local,"[['193.109.72.37'], ['193.109.73.176'], ['10.26.8.75'], ['10.26.8.76'], ['10.26.8.75', '10.26.8.76'], ['10.26.8.76'], ['10.26.8.75']]"
AIRSBEWWP10011,AIRSBEWWP10011.ACDMZPRD.local,"[['10.26.19.13'], ['172.26.16.137'], ['172.26.16.144'], ['193.109.73.82'], ['10.26.19.13'], ['172.26.16.137', '172.26.16.144'], ['172.26.16.144'], ['172.26.16.137'], ['172.26.16.144'], ['172.26.16.137'], ['10.26.19.13'], ['10.26.19.13']]"
AIRSBEWWP10012,AIRSBEWWP10012.ACDMZPRD.local,"[['10.26.19.17'], ['172.26.16.138'], ['172.26.16.145'], ['193.109.73.101'], ['10.26.19.17'], ['172.26.16.138', '172.26.16.145'], ['172.26.16.145'], ['172.26.16.138'], ['169.254.50.187'], ['fe80::513d:e805:f621:32bb'], ['172.26.16.145'], ['172.26.16.138'], ['10.26.19.17']]"
AIRSBEWWP10021,AIRSBEWWP10021.ACDMZPRD.local,"[['193.109.73.177'], ['10.26.7.12'], ['193.109.72.119'], ['10.26.7.12'], ['10.26.7.12']]"
AIRSBEWWP10022,AIRSBEWWP10022.ACDMZPRD.local,"[['193.109.73.177'], ['172.26.20.57'], ['10.26.7.11'], ['193.109.72.119'], ['10.26.7.11'], ['10.26.7.11']]"
AIRSBEWWP10024,AIRSBEWWP10024.ACDMZPRD.local,"[['10.26.7.17'], ['193.109.72.235'], ['10.26.7.17'], ['10.26.7.17']]"
AIRSBEWWP10031,AIRSBEWWP10031.ACDMZPRD.local,"[['10.26.7.15'], ['193.109.73.135'], ['10.26.7.15'], ['10.26.7.15']]"
AIRSBEWWP10032,AIRSBEWWP10032.ACDMZPRD.local,"[['193.109.73.160'], ['10.26.7.25'], ['fe80::84a2:8cc9:e346:1f7e', '10.26.7.25'], ['10.26.7.25'], ['fe80::84a2:8cc9:e346:1f7e%3']]"
AIRSBEWWP10033,AIRSBEWWP10033.ACDMZPRD.local,"[['10.26.7.37'], ['193.109.72.26'], ['10.26.7.37'], ['10.26.7.37']]"
AIRSBEWWS10032,AIRSBEWWS10032.acdmzstg.local,"[['10.26.6.25'], ['10.26.20.155'], ['193.109.73.159'], ['fe80::f117:cca4:705f:7e8b', '10.26.6.25'], ['10.26.6.25'], ['fe80::f117:cca4:705f:7e8b%2']]"
AIRSNLASCK1000,AIRSNLASCK1000.atlascopco.group,"[['10.126.146.49'], [], ['10.76.96.52'], ['fe80::f5c3:2b37:a838:876%7']]"
AIRSNLASCK1001,AIRSNLASCK1001.atlascopco.group,"[['10.126.146.50'], [], ['10.76.96.55'], ['fe80::4481:fcb6:9b37:3fd%5']]"
AISSBEAP4003,AISSBEAP4003.emea.group.atlascopco.com,"[['10.26.20.124'], ['10.26.20.124'], ['10.26.20.124']]"
AISSBEAP4004,AISSBEAP4004.emea.group.atlascopco.com,"[['192.168.146.89'], ['10.26.20.127'], ['10.199.18.89'], ['192.168.146.89'], ['10.26.20.127'], ['10.199.18.89'], ['10.26.20.127'], ['192.168.146.89'], ['10.199.18.89']]"
AISSBEAP4005,AISSBEAP4005.emea.group.atlascopco.com,"[['10.26.17.74'], ['10.26.17.74'], ['10.26.17.74']]"
AISSBEAP4006,AISSBEAP4006.emea.group.atlascopco.com,"[['10.26.17.75'], ['10.26.17.75'], ['10.26.17.75']]"
AISSBEAP4007,AISSBEAP4007.emea.group.atlascopco.com,"[['10.26.17.76'], ['10.26.17.76'], ['10.26.17.76']]"
AISSBEAP4008,AISSBEAP4008.emea.group.atlascopco.com,"[['10.126.145.71'], ['fe80::81b7:24dc:a871:a2a4', '10.126.145.71'], ['10.126.145.71'], ['fe80::81b7:24dc:a871:a2a4']]"
AISSBEAP4009,AISSBEAP4009.emea.group.atlascopco.com,"[['10.126.145.72'], ['10.126.145.72'], ['10.126.145.72']]"
AISSBEAP4014,AISSBEAP4014.atlascopco.group,"[['10.126.146.71'], ['fe80::e4a6:fd3d:abd7:ab7', '10.126.146.71'], ['10.126.146.71'], ['fe80::e4a6:fd3d:abd7:ab7%13']]"
AISSUSAP0001,AISSUSAP0001.atlascopco.group,"[['fe80::5437:670:97ee:64e3', '10.7.136.224'], ['10.7.136.224'], ['fe80::5437:670:97ee:64e3%4']]"
AISSUSAP0002,AISSUSAP0002.atlascopco.group,"[['fe80::d15a:f728:4c3e:30b8', '10.7.136.225'], ['10.7.136.225'], ['fe80::d15a:f728:4c3e:30b8%4']]"
APESNLAP4325,APESNLAP4325.atlascopco.group,"[['10.76.113.22'], ['10.76.113.22'], ['fe80::741b:aa6c:5c2d:27c2%3']]"
CAZSCAAS0001,CAZSCAAS0001.atlascopco.group,"[['10.76.208.18'], ['10.76.208.18'], ['fe80::411d:396d:66ab:b77e%14']]"
DFHSBEAS4001,DFHSBEAS4001.ACDMZPRD.local,"[['10.26.8.110'], ['193.109.73.192'], ['10.26.8.110']]"
FRJSFRAS01302,FRJSFRAS01302.emea.group.atlascopco.com,"[['10.32.56.38'], ['10.33.32.72']]"
GCISBEAS4001,GCISBEAS4001.emea.group.atlascopco.com,"[['10.26.14.252'], ['fe80::f864:b981:fd5a:beba', '10.26.14.252'], ['10.26.14.252'], ['fe80::f864:b981:fd5a:beba%4']]"
GCISBEAS4002,GCISBEAS4002.emea.group.atlascopco.com,"[['10.26.17.98'], ['10.26.17.98'], ['10.26.17.98']]"
GCISBEAS4003,GCISBEAS4003.emea.group.atlascopco.com,"[['10.126.149.20'], ['10.126.149.20'], ['10.126.149.20']]"
GCISBEDB4002,GCISBEDB4002.emea.group.atlascopco.com,"[['10.199.18.70'], ['10.26.14.142'], ['192.168.146.70'], ['10.199.18.70'], ['fe80::5164:b124:abb0:2bca', '10.26.14.142'], ['192.168.146.70'], ['192.168.146.70'], ['10.26.14.142'], ['fe80::5164:b124:abb0:2bca%2'], ['10.199.18.70']]"
GCNSBEWS0001,GCNSBEWS0001.ACDMZPRD.local,"[['10.126.132.20'], ['185.180.76.166'], ['fe80::895c:ea0e:c185:ec50', '10.126.132.20'], ['10.126.132.20'], ['fe80::895c:ea0e:c185:ec50%6']]"
GCNSBEWS0002,GCNSBEWS0002.ACDMZPRD.local,"[['10.126.132.21'], ['185.180.76.167'], ['fe80::9b4:f4d0:a587:471c', '10.126.132.21'], ['10.126.132.21'], ['fe80::9b4:f4d0:a587:471c%7']]"
GCNSBEWS0003,GCNSBEWS0003.ACDMZPRD.local,"[['10.126.132.22'], ['185.180.76.168'], ['fe80::d0cb:f8c9:4fac:e614', '10.126.132.22'], ['10.126.132.22'], ['fe80::d0cb:f8c9:4fac:e614%6']]"
HUASHUIS00301,HUASHUIS00301.atlascopco.group,"[['10.36.32.145'], ['fe80::8c51:31b4:2fbd:3bea', '10.36.32.149'], ['10.36.32.149'], ['fe80::8c51:31b4:2fbd:3bea%3']]"
ITHSBEWWP10000,ITHSBEWWP10000.ACDMZPRD.local,"[['172.26.1.30'], ['10.26.19.30'], ['193.109.73.157'], ['fe80::49a8:11aa:3eca:8ee1', '172.26.1.30'], ['fe80::9951:31da:4f49:7b60', '10.26.19.30'], ['10.26.19.30'], ['fe80::9951:31da:4f49:7b60'], ['172.26.1.30'], ['fe80::49a8:11aa:3eca:8ee1']]"
ITHSBEWWP10001,ITHSBEWWP10001.ACDMZPRD.local,"[['185.180.76.157'], ['10.126.132.74'], ['10.126.132.74'], ['10.126.132.74']]"
PTISBEAS1001,PTISBEAS1001.atlascopco.group,"[['10.126.146.60'], ['fe80::8847:b264:bebb:44b0', '10.126.146.60'], ['10.126.146.60'], ['fe80::8847:b264:bebb:44b0%4']]"
SISBEACSCOM01,SISBEACSCOM01.emea.group.atlascopco.com,"[['10.199.18.130'], ['10.26.17.16'], ['192.168.146.130'], ['10.199.18.130'], ['10.26.17.16'], ['192.168.146.130'], ['10.26.17.16'], ['192.168.146.130'], ['10.199.18.130']]"
SISBEACSCOM05,SISBEACSCOM05.emea.group.atlascopco.com,"[['10.26.17.205'], ['10.199.17.157'], ['192.168.145.157'], ['10.199.17.157'], ['fe80::296d:d721:1b0e:594e', '10.26.17.205'], ['192.168.145.157'], ['10.26.17.205'], ['fe80::296d:d721:1b0e:594e%2'], ['192.168.145.157'], ['10.199.17.157']]"
SSCSBEAP4001,SSCSBEAP4001.emea.group.atlascopco.com,"[['10.26.14.133'], ['10.26.14.133'], ['10.26.14.133']]"
SSCSBEAP4010,SSCSBEAP4010.atlascopco.group,"[['10.126.146.119'], ['fe80::8c08:a4b0:c28:c45', '10.126.149.33'], ['10.126.149.33'], ['fe80::8c08:a4b0:c28:c45']]"
SSCSBEAP4012,SSCSBEAP4012.atlascopco.group,"[['10.126.146.120'], ['10.126.149.32', '10.126.149.35'], ['10.126.149.35'], ['10.126.149.32']]"
SSCSBEAP4013,SSCSBEAP4013.atlascopco.group,"[['10.126.146.121'], ['fe80::3dda:eea2:11fe:482f', '10.126.149.36'], ['10.126.149.36'], ['fe80::3dda:eea2:11fe:482f']]"
SSCSBEAP4014,SSCSBEAP4014.atlascopco.group,"[['10.126.146.122'], ['fe80::bcb5:39b1:cf5b:2bef', '10.126.149.37'], ['10.126.149.37'], ['fe80::bcb5:39b1:cf5b:2bef']]"
SSCSBEAP4016,SSCSBEAP4016.atlascopco.group,"[['10.126.146.123'], ['10.126.147.27', '10.126.147.29'], ['10.126.147.29'], ['10.126.147.27']]"
SSCSBEAP4017,SSCSBEAP4017.atlascopco.group,"[['10.126.146.124'], ['10.126.147.28', '10.126.147.30'], ['10.126.147.30'], ['10.126.147.28']]"
SSCSBEAP4018,SSCSBEAP4018.atlascopco.group,"[['10.126.146.125'], ['fe80::75e3:4a20:dda1:dec3', '10.126.147.31'], ['10.126.147.31'], ['fe80::75e3:4a20:dda1:dec3']]"
SSCSBEAP4019,SSCSBEAP4019.atlascopco.group,"[['10.126.146.126'], ['fe80::a45c:536a:14e1:a759', '10.126.147.32'], ['10.126.147.32'], ['fe80::a45c:536a:14e1:a759']]"
SSCSBEAP4021,SSCSBEAP4021.atlascopco.group,"[['10.126.146.127'], ['10.126.145.173', '10.126.145.35'], ['10.126.145.35'], ['10.126.145.173']]"
SSCSBEAP4022,SSCSBEAP4022.atlascopco.group,"[['10.126.146.128'], ['10.126.145.174', '10.126.145.40'], ['10.126.145.40'], ['10.126.145.174']]"
SSCSBEAP4023,SSCSBEAP4023.atlascopco.group,"[['10.126.146.129'], ['10.126.145.175', '10.126.145.42'], ['10.126.145.42'], ['10.126.145.175']]"
SSCSBEAP4024,SSCSBEAP4024.atlascopco.group,"[['10.126.146.130'], ['10.126.145.176', '10.126.145.43'], ['10.126.145.43'], ['10.126.145.176']]"
SSCSBEAP4025,SSCSBEAP4025.atlascopco.group,"[['10.126.146.131'], ['fe80::d78:2caa:f3e6:6f4f', '10.126.145.177'], ['10.126.145.177'], ['fe80::d78:2caa:f3e6:6f4f']]"
SSCSBEAP4026,SSCSBEAP4026.atlascopco.group,"[['10.126.146.132'], ['fe80::85de:823c:d9d7:9a9f', '10.126.145.178'], ['10.126.145.178'], ['fe80::85de:823c:d9d7:9a9f']]"
SSCSBEAP4027,SSCSBEAP4027.atlascopco.group,"[['10.126.146.133'], ['fe80::d166:411c:4b68:8754', '10.126.145.179'], ['10.126.145.179'], ['fe80::d166:411c:4b68:8754']]"
SSCSBEAP4028,SSCSBEAP4028.atlascopco.group,"[['10.126.146.134'], ['fe80::9d77:aefa:ef0:1ab2', '10.126.145.180'], ['10.126.145.180'], ['fe80::9d77:aefa:ef0:1ab2']]"
SSCSBEAP4031,SSCSBEAP4031.atlascopco.group,"[['10.126.146.135'], ['10.126.145.181'], ['10.126.145.181']]"
SSCSBEAP4032,SSCSBEAP4032.atlascopco.group,"[['10.126.145.172'], ['fe80::38aa:7662:b193:1027', '10.126.145.172'], ['10.126.145.172'], ['fe80::38aa:7662:b193:1027']]"
SSCSBEAR0001,SSCSBEAR0001.atlascopco.group,"[['10.126.145.87'], ['fe80::89e5:8695:541:c369', '10.126.145.87'], ['10.126.145.87'], ['fe80::89e5:8695:541:c369%7']]"
