Hostnames,FQDN,IP
ACPSBEWWACPR09,ACPSBEWWACPR09.ACDMZPRD.local,"[['10.26.19.65'], ['10.26.19.69'], ['172.26.17.73'], ['172.26.17.77'], ['172.26.17.81'], ['172.26.17.85'], ['172.26.17.89'], ['172.26.17.91'], ['10.26.15.56'], ['193.109.72.125'], ['193.109.73.43'], ['193.109.72.126'], ['193.109.73.122'], ['193.109.73.41'], ['10.26.19.65', '10.26.19.69'], ['172.26.17.73', '172.26.17.77', '172.26.17.81', '172.26.17.85', '172.26.17.89', '172.26.17.91'], ['172.26.17.91'], ['172.26.17.89'], ['172.26.17.85'], ['172.26.17.81'], ['172.26.17.77'], ['172.26.17.73'], ['172.26.17.91'], ['172.26.17.89'], ['172.26.17.85'], ['172.26.17.81'], ['172.26.17.77'], ['172.26.17.73'], ['10.26.19.69'], ['10.26.19.65'], ['10.26.19.69'], ['10.26.19.65']]"
ACPSBEWWACST05,ACPSBEWWACST05.acdmzstg.local,"[['10.26.22.37'], ['172.26.18.70'], ['172.26.18.74'], ['172.26.18.78'], ['172.26.18.82'], ['172.26.18.86'], ['172.26.18.88'], ['10.26.15.55'], ['193.109.73.190'], ['193.109.73.191'], ['193.109.73.188'], ['193.109.73.189'], ['10.26.22.17', '10.26.22.37'], ['172.26.18.70', '172.26.18.74', '172.26.18.78', '172.26.18.82', '172.26.18.86', '172.26.18.88'], ['172.26.18.88'], ['172.26.18.86'], ['172.26.18.82'], ['172.26.18.78'], ['172.26.18.74'], ['172.26.18.70'], ['10.26.22.37'], ['10.26.22.17'], ['172.26.18.88'], ['172.26.18.86'], ['172.26.18.82'], ['172.26.18.78'], ['172.26.18.74'], ['172.26.18.70'], ['10.26.22.37'], ['10.26.22.17']]"
ACPSBEWWACST06,ACPSBEWWACST06.acdmzstg.local,"[['10.26.22.19'], ['10.26.22.38'], ['172.26.18.71'], ['172.26.18.75'], ['172.26.18.79'], ['172.26.18.83'], ['172.26.18.87'], ['172.26.18.89'], ['10.26.15.55'], ['193.109.73.190'], ['193.109.73.191'], ['193.109.73.188'], ['193.109.73.189'], ['10.26.22.19', '10.26.22.38'], ['172.26.18.71', '172.26.18.75', '172.26.18.79', '172.26.18.83', '172.26.18.87', '172.26.18.89'], ['10.26.22.38'], ['10.26.22.19'], ['172.26.18.89'], ['172.26.18.87'], ['172.26.18.83'], ['172.26.18.79'], ['172.26.18.75'], ['172.26.18.71'], ['100.26.22.38'], ['10.26.22.19'], ['172.26.18.89'], ['172.26.18.87'], ['172.26.18.83'], ['172.26.18.79'], ['172.26.18.75'], ['172.26.18.71']]"
ACPSBEWWACST07,ACPSBEWWACST07.acdmzstg.local,"[['10.26.22.21'], ['10.26.22.24'], ['172.26.18.72'], ['172.26.18.76'], ['172.26.18.80'], ['172.26.18.84'], ['193.109.73.25'], ['193.109.73.123'], ['193.109.73.71'], ['193.109.73.24'], ['10.26.22.21', '10.26.22.24'], ['172.26.18.72', '172.26.18.76', '172.26.18.80', '172.26.18.84', '172.26.18.98'], ['172.26.18.98'], ['172.26.18.84'], ['172.26.18.80'], ['172.26.18.76'], ['172.26.18.72'], ['10.26.22.24'], ['10.26.22.21'], ['172.26.18.98'], ['172.26.18.84'], ['172.26.18.80'], ['172.26.18.76'], ['172.26.18.72'], ['10.26.22.24'], ['10.26.22.21']]"
ACPSBEWWACST08,ACPSBEWWACST08.acdmzstg.local,"[['10.26.22.25'], ['10.26.22.28'], ['172.26.18.73'], ['172.26.18.77'], ['172.26.18.81'], ['172.26.18.85'], ['193.109.73.25'], ['193.109.73.123'], ['193.109.73.71'], ['193.109.73.24'], ['10.26.22.25', '10.26.22.28'], ['172.26.18.73', '172.26.18.77', '172.26.18.81', '172.26.18.85'], ['172.26.18.85'], ['172.26.18.81'], ['172.26.18.77'], ['172.26.18.73'], ['10.26.22.28'], ['10.26.22.25'], ['10.26.22.28'], ['10.26.22.25'], ['10.26.22.28'], ['10.26.22.25'], ['172.26.18.85'], ['172.26.18.81'], ['172.26.18.77'], ['172.26.18.73']]"
ACPSSEAS02,ACPSSEAS02.emea.group.atlascopco.com,"[['10.40.0.45'], ['10.40.0.45'], ['10.40.0.45']]"
ACTSBEDB4001,ACTSBEDB4001.emea.group.atlascopco.com,"[['10.199.17.197'], ['192.168.145.197'], ['10.26.17.105'], ['10.199.17.197'], ['192.168.145.197'], ['10.26.17.105'], ['192.168.145.197'], ['10.199.17.197'], ['10.26.17.105']]"
ACTSBEDB4002,ACTSBEDB4002.emea.group.atlascopco.com,"[['192.168.145.198'], ['10.26.14.126'], ['10.199.17.198'], ['192.168.145.198'], ['10.26.14.126'], ['10.199.17.198'], ['192.168.145.198'], ['10.26.14.126']]"
ACTSBESQL0001,ACTSBESQL0001.emea.group.atlascopco.com,"[['10.199.16.246'], ['192.168.144.246'], ['10.26.17.211'], ['10.199.16.246', '169.254.143.158'], ['169.254.189.51', '192.168.144.246'], ['10.26.17.211'], [], [], ['10.26.17.211']]"
AIASNLAP0001,AIASNLAP0001.atlascopco.group,"[['10.76.113.41'], ['10.76.113.41'], ['fe80::2102:7553:7337:2f33%5']]"
